Learning Rate	Train Loss	
0.001000	1.184940	
0.001000	0.599678	
0.001000	0.473797	
0.001000	0.325939	
0.001000	0.327621	
0.001000	0.314374	
0.001000	0.267349	
0.001000	0.304109	
0.001000	0.278222	
0.001000	0.197202	
0.000100	0.222278	
0.000100	0.172315	
0.000100	0.181980	
0.000100	0.154423	
0.000100	0.120751	
0.000100	0.147144	
0.000100	0.114821	
0.000100	0.124000	
0.000100	0.110769	
0.000100	0.115391	
0.000010	0.115352	
0.000010	0.105650	
0.000010	0.115398	
0.000010	0.094602	
0.000010	0.093516	
0.000010	0.096557	
0.000010	0.114981	
0.000010	0.133931	
0.000010	0.115852	
0.000010	0.095427	
