Learning Rate	Train Loss	
0.001000	1.246943	
0.001000	0.595094	
0.001000	0.431310	
0.001000	0.357613	
0.001000	0.392169	
0.001000	0.301068	
0.001000	0.331141	
0.001000	0.251175	
0.001000	0.273820	
0.001000	0.215339	
0.000100	0.217043	
0.000100	0.171310	
0.000100	0.172928	
0.000100	0.169160	
0.000100	0.140569	
0.000100	0.122068	
0.000100	0.125023	
0.000100	0.135586	
0.000100	0.127300	
0.000100	0.113345	
0.000010	0.111383	
0.000010	0.115144	
0.000010	0.118317	
0.000010	0.094901	
0.000010	0.129604	
0.000010	0.112330	
0.000010	0.101008	
0.000010	0.108357	
0.000010	0.091545	
0.000010	0.109197	
0.000001	0.095231	
0.000001	0.093710	
0.000001	0.094371	
0.000001	0.098910	
0.000001	0.088278	
