Learning Rate	Train Loss	
0.001000	1.165323	
0.001000	0.566753	
0.001000	0.461095	
0.001000	0.296586	
0.001000	0.332517	
0.001000	0.339842	
0.001000	0.291889	
0.001000	0.320914	
0.001000	0.278325	
0.001000	0.262715	
0.000100	0.238397	
0.000100	0.210764	
0.000100	0.190278	
0.000100	0.170780	
0.000100	0.125250	
0.000100	0.128261	
0.000100	0.152807	
0.000100	0.122067	
0.000100	0.122862	
0.000100	0.140930	
0.000010	0.112455	
0.000010	0.119611	
0.000010	0.106523	
0.000010	0.093559	
0.000010	0.099298	
0.000010	0.098786	
0.000010	0.108282	
0.000010	0.100023	
0.000010	0.104100	
0.000010	0.106789	
0.000001	0.110045	
0.000001	0.091330	
0.000001	0.097668	
0.000001	0.086979	
0.000001	0.085769	
0.000001	0.085748	
0.000001	0.092324	
0.000001	0.110042	
0.000001	0.111292	
0.000001	0.091156	
