Learning Rate	Train Loss	
0.001000	1.836547	
0.001000	0.902485	
0.001000	0.577731	
0.001000	0.548330	
0.001000	0.502461	
0.001000	0.466601	
0.001000	0.420909	
0.001000	0.366238	
0.001000	0.354263	
0.001000	0.338511	
0.000100	0.321333	
0.000100	0.309218	
0.000100	0.300948	
0.000100	0.265605	
0.000100	0.266776	
0.000100	0.263215	
0.000100	0.234663	
0.000100	0.254642	
0.000100	0.247174	
0.000100	0.258674	
0.000010	0.246005	
0.000010	0.235622	
0.000010	0.236425	
0.000010	0.246566	
0.000010	0.243354	
0.000010	0.234222	
0.000010	0.227918	
0.000010	0.233720	
0.000010	0.237667	
0.000010	0.247627	
