Learning Rate	Train Loss	
0.001000	1.724570	
0.001000	0.875095	
0.001000	0.585989	
0.001000	0.502722	
0.001000	0.471914	
0.001000	0.474720	
0.001000	0.377400	
0.001000	0.422110	
0.001000	0.361068	
0.001000	0.318731	
0.000100	0.320084	
0.000100	0.290069	
0.000100	0.289033	
0.000100	0.276780	
0.000100	0.257205	
0.000100	0.251453	
0.000100	0.251782	
0.000100	0.246529	
0.000100	0.238131	
0.000100	0.233054	
0.000010	0.226292	
0.000010	0.245504	
0.000010	0.235294	
0.000010	0.261374	
0.000010	0.232962	
0.000010	0.230941	
0.000010	0.242717	
0.000010	0.245358	
0.000010	0.238630	
0.000010	0.238927	
0.000001	0.228028	
0.000001	0.231402	
0.000001	0.245826	
0.000001	0.233352	
0.000001	0.247155	
0.000001	0.222706	
0.000001	0.247846	
0.000001	0.228092	
0.000001	0.230184	
0.000001	0.231392	
