Learning Rate	Train Loss	
0.001000	1.748982	
0.001000	0.863965	
0.001000	0.596567	
0.001000	0.518121	
0.001000	0.479652	
0.001000	0.433306	
0.001000	0.414241	
0.001000	0.426896	
0.001000	0.378548	
0.001000	0.364006	
0.000100	0.329230	
0.000100	0.312618	
0.000100	0.259475	
0.000100	0.277345	
0.000100	0.271884	
0.000100	0.252570	
0.000100	0.241592	
0.000100	0.239907	
0.000100	0.234008	
0.000100	0.230209	
0.000010	0.217201	
0.000010	0.219253	
0.000010	0.222670	
0.000010	0.233164	
0.000010	0.225786	
0.000010	0.215473	
0.000010	0.228257	
0.000010	0.208947	
0.000010	0.203146	
0.000010	0.209529	
0.000001	0.207263	
0.000001	0.216473	
0.000001	0.224343	
0.000001	0.228359	
0.000001	0.221587	
0.000001	0.214918	
0.000001	0.229112	
0.000001	0.241236	
0.000001	0.225211	
0.000001	0.216204	
