Learning Rate	Train Loss	
0.001000	1.512214	
0.001000	0.668973	
0.001000	0.559464	
0.001000	0.575326	
0.001000	0.500049	
0.001000	0.410247	
0.001000	0.353198	
0.001000	0.365415	
0.001000	0.400923	
0.001000	0.354941	
0.000100	0.333195	
0.000100	0.295876	
0.000100	0.266214	
0.000100	0.255350	
0.000100	0.238042	
0.000100	0.256045	
0.000100	0.227255	
0.000100	0.213409	
0.000100	0.217337	
0.000100	0.218154	
0.000010	0.204413	
0.000010	0.203275	
0.000010	0.204369	
0.000010	0.214917	
0.000010	0.193357	
0.000010	0.195263	
0.000010	0.215056	
0.000010	0.204369	
0.000010	0.202909	
0.000010	0.200986	
0.000001	0.217177	
0.000001	0.213621	
0.000001	0.213372	
0.000001	0.209583	
0.000001	0.184728	
0.000001	0.197648	
0.000001	0.211022	
0.000001	0.209417	
0.000001	0.201660	
0.000001	0.206048	
