Learning Rate	Train Loss	
0.001000	3.882777	
0.001000	2.398255	
0.001000	1.510527	
0.001000	1.242775	
0.001000	1.149538	
0.001000	1.050320	
0.001000	0.987937	
0.001000	0.924404	
0.001000	0.871004	
0.001000	0.781118	
0.000100	0.733985	
0.000100	0.720534	
0.000100	0.707150	
0.000100	0.662868	
0.000100	0.652689	
0.000100	0.628885	
0.000100	0.635816	
0.000100	0.684057	
0.000100	0.613473	
0.000100	0.605223	
0.000010	0.613471	
0.000010	0.591715	
0.000010	0.589170	
0.000010	0.576959	
0.000010	0.596485	
0.000010	0.610319	
0.000010	0.606778	
0.000010	0.570268	
0.000010	0.617950	
0.000010	0.603429	
