Learning Rate	Train Loss	
0.001000	1.275801	
0.001000	0.830362	
0.001000	0.470309	
0.001000	0.352627	
0.001000	0.375802	
0.001000	0.274153	
0.001000	0.257306	
0.001000	0.247197	
0.001000	0.266236	
0.001000	0.223067	
0.000100	0.203662	
0.000100	0.201865	
0.000100	0.160465	
0.000100	0.179146	
0.000100	0.163355	
0.000100	0.130553	
0.000100	0.147652	
0.000100	0.137200	
0.000100	0.127364	
0.000100	0.105268	
0.000010	0.120454	
0.000010	0.131766	
0.000010	0.124484	
0.000010	0.113227	
0.000010	0.110364	
0.000010	0.109868	
0.000010	0.104298	
0.000010	0.100881	
0.000010	0.089722	
0.000010	0.104829	
