Learning Rate	Train Loss	
0.001000	1.558802	
0.001000	0.710631	
0.001000	0.635458	
0.001000	0.534090	
0.001000	0.421147	
0.001000	0.384470	
0.001000	0.377266	
0.001000	0.372002	
0.001000	0.375153	
0.001000	0.337419	
0.000100	0.313849	
0.000100	0.277283	
0.000100	0.258935	
0.000100	0.268808	
0.000100	0.238276	
0.000100	0.233817	
0.000100	0.237064	
0.000100	0.225375	
0.000100	0.223278	
0.000100	0.207744	
0.000010	0.208034	
0.000010	0.226936	
0.000010	0.212867	
0.000010	0.197994	
0.000010	0.197128	
0.000010	0.196591	
0.000010	0.213721	
0.000010	0.200823	
0.000010	0.200821	
0.000010	0.202822	
