Learning Rate	Train Loss	
0.001000	1.789919	
0.001000	0.844553	
0.001000	0.575603	
0.001000	0.558430	
0.001000	0.433121	
0.001000	0.425363	
0.001000	0.392741	
0.001000	0.398020	
0.001000	0.356657	
0.001000	0.353291	
0.000100	0.308953	
0.000100	0.292861	
0.000100	0.292197	
0.000100	0.266013	
0.000100	0.264632	
0.000100	0.245693	
0.000100	0.259019	
0.000100	0.245909	
0.000100	0.256723	
0.000100	0.229251	
0.000010	0.225940	
0.000010	0.216294	
0.000010	0.222339	
0.000010	0.237416	
0.000010	0.221461	
0.000010	0.227888	
0.000010	0.223833	
0.000010	0.233942	
0.000010	0.215899	
0.000010	0.217765	
