Learning Rate	Train Loss	
0.001000	1.800517	
0.001000	0.852632	
0.001000	0.629681	
0.001000	0.503703	
0.001000	0.461906	
0.001000	0.430366	
0.001000	0.433210	
0.001000	0.358900	
0.001000	0.323903	
0.001000	0.333629	
0.000100	0.293896	
0.000100	0.276292	
0.000100	0.284508	
0.000100	0.261373	
0.000100	0.255925	
0.000100	0.224795	
0.000100	0.225724	
0.000100	0.226937	
0.000100	0.206531	
0.000100	0.203746	
0.000010	0.204132	
0.000010	0.212118	
0.000010	0.212879	
0.000010	0.203522	
0.000010	0.213253	
0.000010	0.211140	
0.000010	0.201747	
0.000010	0.210892	
0.000010	0.199979	
0.000010	0.205083	
0.000001	0.206922	
0.000001	0.204677	
0.000001	0.211879	
0.000001	0.195383	
0.000001	0.205773	
