Learning Rate	Train Loss	
0.001000	1.999032	
0.001000	1.486478	
0.001000	0.989300	
0.001000	0.700370	
0.001000	0.605543	
0.001000	0.551389	
0.001000	0.478415	
0.001000	0.459931	
0.001000	0.429970	
0.001000	0.418622	
0.000100	0.361469	
0.000100	0.358326	
0.000100	0.365462	
0.000100	0.361100	
0.000100	0.337877	
0.000100	0.329649	
0.000100	0.343042	
0.000100	0.335828	
0.000100	0.296020	
0.000100	0.302131	
0.000010	0.335100	
0.000010	0.297202	
0.000010	0.312660	
0.000010	0.312973	
0.000010	0.299897	
0.000010	0.303072	
0.000010	0.307513	
0.000010	0.300642	
